,cause,age,Year,valprevnumberboth,valdeathsnumberboth,valprevrateboth,valdeathsrateboth,valprevpercentboth,valdeathspercentboth,valprevnumberfemale,valdeathsnumberfemale,valprevratefemale,valdeathsratefemale,valprevpercentfemale,valdeathspercentfemale,valprevnumbermale,valdeathsnumbermale,valprevratemale,valdeathsratemale,valprevpercentmale,valdeathspercentmale,is_projection
0,Cardiovascular diseases,0-14 years,2001,10060331.2259,95294.20330000001,131648.8974,917.9349,1.4317,3.1463,4704098.1342,45435.1608,127068.1277,905.4473,1.3642,3.4143,5356233.0908,49859.042199999996,136053.5001,930.652,1.5005,2.9246,False
1,Cardiovascular diseases,0-14 years,2002,10152222.7219,91550.4596,132041.6146,889.3312,1.4382,3.1377,4742295.5588,43675.4143,127531.1238,875.8339,1.3702,3.3922,5409927.1633,47875.0452,136375.5019,902.9746,1.5065,2.9279,False
2,Cardiovascular diseases,0-14 years,2003,10249957.3199,88215.849,132434.7553,861.1266,1.4446,3.1288,4783663.2032,42008.8816,127999.4247,847.6343,1.3764,3.3763,5466294.1172,46206.9692,136693.295,874.6903,1.5133,2.9259,False
3,Cardiovascular diseases,0-14 years,2004,10337475.0373,85766.08009999999,132737.0986,833.7668,1.4506000000000001,3.0785,4821709.7215,40671.4475,128373.417,819.9156,1.3826,3.3201,5515765.3158,45094.6327,136923.3694,847.649,1.5181,2.8792,False
4,Cardiovascular diseases,0-14 years,2005,10404832.2545,84325.8046,132862.4102,811.9857,1.4535,3.1149,4852577.2009,39896.7551,128560.7201,796.7006,1.3866,3.3602,5552255.0529,44429.0491,136986.7338,827.2624,1.5214,2.913,False
5,Cardiovascular diseases,0-14 years,2006,10498947.8939,82289.6514,132799.8187,790.3002,1.4556,3.1136,4899039.7283,39030.8509,128578.10250000001,774.2984,1.389,3.3581,5599908.1651,43258.7997,136845.4674,806.2896,1.5225,2.9136,False
6,Cardiovascular diseases,0-14 years,2007,10649211.9346,80594.0989,132622.4073,770.1213,1.4564,3.1081,4974483.6043,38171.6964,128514.4978,755.0744,1.3896,3.3508,5674728.3288,42422.4013,136558.2186,785.2233,1.5231999999999999,2.9083,False
7,Cardiovascular diseases,0-14 years,2008,10829891.8685,79286.008,132376.0832,746.5393,1.457,3.0888,5065193.6569,37402.5472,128391.2049,727.9541,1.3911,3.305,5764698.2111,41883.4606,136192.9697,764.9685000000001,1.5233,2.9108,False
8,Cardiovascular diseases,0-14 years,2009,11016418.5778,78189.4517,132131.7269,724.589,1.4571,3.0549,5157771.0187,36730.6259,128256.3476,703.7225,1.3923,3.2499,5858647.5597,41458.8267,135842.9733,745.1052,1.5228,2.8937,False
9,Cardiovascular diseases,0-14 years,2010,11181810.6429,76322.4624,131940.4281,700.474,1.4588,3.0441,5237564.271699999,35619.0051,128139.7616,679.2708,1.3927,3.2452,5944246.3714,40703.4577,135577.9749,721.2592,1.5237,2.8777,False
